T_amb_C,D_eff_lower,D_eff_nominal,D_eff_upper,D_TF_high_cal,D_TF_low_cal
-44.5000000000,0.0003419221,0.0003599180,0.0003779139,0.0003649261,0.0003519236
-44.4000000000,0.0003417773,0.0003597656,0.0003777539,0.0003647754,0.0003517724
-44.3000000000,0.0003416325,0.0003596132,0.0003775939,0.0003646247,0.0003516211
-44.2000000000,0.0003414878,0.0003594608,0.0003774338,0.0003644740,0.0003514699
-44.1000000000,0.0003413430,0.0003593084,0.0003772738,0.0003643233,0.0003513186
-44.0000000000,0.0003411982,0.0003591560,0.0003771138,0.0003641726,0.0003511674
-43.9000000000,0.0003410534,0.0003590036,0.0003769538,0.0003640219,0.0003510161
-43.8000000000,0.0003409086,0.0003588512,0.0003767938,0.0003638712,0.0003508649
-43.7000000000,0.0003407639,0.0003586988,0.0003766337,0.0003637205,0.0003507136
-43.6000000000,0.0003406191,0.0003585464,0.0003764737,0.0003635697,0.0003505623
-43.5000000000,0.0003404743,0.0003583940,0.0003763137,0.0003634190,0.0003504111
-43.4000000000,0.0003403295,0.0003582416,0.0003761537,0.0003632683,0.0003502598
-43.3000000000,0.0003401847,0.0003580892,0.0003759937,0.0003631176,0.0003501086
-43.2000000000,0.0003400400,0.0003579368,0.0003758336,0.0003629669,0.0003499573
-43.1000000000,0.0003398952,0.0003577844,0.0003756736,0.0003628162,0.0003498060
-43.0000000000,0.0003397504,0.0003576320,0.0003755136,0.0003626654,0.0003496547
-42.9000000000,0.0003396056,0.0003574796,0.0003753536,0.0003625147,0.0003495035
-42.8000000000,0.0003394608,0.0003573272,0.0003751936,0.0003623640,0.0003493522
-42.7000000000,0.0003393161,0.0003571748,0.0003750335,0.0003622133,0.0003492009
-42.6000000000,0.0003391713,0.0003570224,0.0003748735,0.0003620625,0.0003490496
-42.5000000000,0.0003390265,0.0003568700,0.0003747135,0.0003620914,0.0003490786
-42.4000000000,0.0003388817,0.0003567176,0.0003745535,0.0003619405,0.0003489270
-42.3000000000,0.0003387369,0.0003565652,0.0003743935,0.0003617895,0.0003487755
-42.2000000000,0.0003385922,0.0003564128,0.0003742334,0.0003616385,0.0003486239
-42.1000000000,0.0003384474,0.0003562604,0.0003740734,0.0003614875,0.0003484723
-42.0000000000,0.0003383026,0.0003561080,0.0003739134,0.0003613365,0.0003483208
-41.9000000000,0.0003381578,0.0003559556,0.0003737534,0.0003611855,0.0003481692
-41.8000000000,0.0003380130,0.0003558032,0.0003735934,0.0003610345,0.0003480177
-41.7000000000,0.0003378683,0.0003556508,0.0003734333,0.0003608834,0.0003478661
-41.6000000000,0.0003377235,0.0003554984,0.0003732733,0.0003607324,0.0003477146
-41.5000000000,0.0003375787,0.0003553460,0.0003731133,0.0003605814,0.0003475630
-41.4000000000,0.0003374339,0.0003551936,0.0003729533,0.0003604304,0.0003474114
-41.3000000000,0.0003372891,0.0003550412,0.0003727933,0.0003602794,0.0003472598
-41.2000000000,0.0003371444,0.0003548888,0.0003726332,0.0003601284,0.0003471083
-41.1000000000,0.0003369996,0.0003547364,0.0003724732,0.0003599774,0.0003469567
